Protocol,Source_IP,Destination_IP
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.188.155.25
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,150.171.109.129
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
